"location","year","multiplier_type","sna1_aic","sna1_changes_in_inventories","sna1_domestic_demand","sna1_exports","sna1_final_consumption","sna1_gdp","sna1_gov_consumption_all","sna1_gov_consumption_col","sna1_gov_consumption_ind","sna1_gross_capital_formation","sna1_gross_fixed_capital_formation","sna1_hh_consumption","sna1_imports","sna1_net_exports"
"ARG",2004,"CURRENT_LCU_MILLIONS",NA,8040.7022,451144.5533,115688.4254,366000.674,485115.1947,NA,NA,53918.7884,85143.8794,77103.1771,NA,81717.784,33970.6414
"ARG",2004,"GDP_CONSTANT_PER_CAPITA",NA,258.437984096334,14500.3366610062,3718.36721470112,11763.7084440784,15592.194544,NA,NA,1733.01567853276,2736.62822014194,2478.19023283149,NA,2626.50933170733,1091.85788299379
"ARG",2004,"GDP_CURRENT_PER_CAPITA",NA,209.091867455963,11731.6441768087,3008.38263975575,9517.54741231444,12615.022851,NA,NA,1402.11387974534,2214.0967670947,2005.00489703832,NA,2125.00396556447,883.378674191272
"ARG",2005,"CURRENT_LCU_MILLIONS",NA,8954.2946,547932.5947,135416.1056,437901.246,582538.1729,NA,NA,70730.9766,110031.3487,101077.0541,NA,100810.5274,34605.5782
"ARG",2005,"GDP_CONSTANT_PER_CAPITA",NA,258.410918508604,15812.7213144439,3907.95721965125,12637.3397626344,16811.399563,NA,NA,2041.21680676182,3175.38155180951,2916.97063330091,NA,2909.27897109515,998.6782485561
"ARG",2005,"GDP_CURRENT_PER_CAPITA",NA,215.636275138196,13195.248651738,3261.07481490553,10545.4865831435,14028.616138,NA,NA,1703.3351048011,2649.76206859443,2434.12579345624,NA,2427.70732864351,833.367486262017
"ARG",2006,"CURRENT_LCU_MILLIONS",NA,2500.6574,675671.1007,164849.0903,541936.6945,715904.2717,NA,NA,88982.7156,133734.4062,131233.7488,NA,124615.9193,40233.171
"ARG",2006,"GDP_CONSTANT_PER_CAPITA",NA,62.830739354228,16976.7017334186,4141.94692380528,13616.5326760161,17987.587863,NA,NA,2235.75201100918,3360.16905740253,3297.3383180483,NA,3131.06079422388,1010.8861295814
"ARG",2006,"GDP_CURRENT_PER_CAPITA",NA,54.0033081125966,14591.552858812,3560.02234274562,11703.4721712001,15460.414115,NA,NA,1921.63908868218,2888.08068761189,2834.07737949929,NA,2691.16108655763,868.861256187988
"ARG",2007,"CURRENT_LCU_MILLIONS",NA,5229.6998,857689.4825,203280.3772,677404.4219,896980.1741,NA,NA,116511.6601,180285.0606,175055.3608,NA,163989.6855,39290.6917
"ARG",2007,"GDP_CONSTANT_PER_CAPITA",NA,113.202084211282,18565.5469220424,4400.2071358466,14663.0964196106,19416.03325,NA,NA,2522.01144666782,3902.45050243175,3789.24841822047,NA,3549.72080572438,850.48633012222
"ARG",2007,"GDP_CURRENT_PER_CAPITA",NA,99.9113974034702,16385.8267227565,3883.59319415553,12941.5501821575,17136.46023,NA,NA,2225.91032364595,3444.276540599,3344.36514319553,NA,3132.95968500154,750.633509153992
"ARG",2008,"CURRENT_LCU_MILLIONS",NA,6468.0802,1106889.288,253622.2788,881871.6353,1149646.091,NA,NA,156737.1522,225017.6527,218549.5725,NA,210865.4762,42756.8026
"ARG",2008,"GDP_CONSTANT_PER_CAPITA",NA,112.554155497636,19261.5096269555,4413.40251249824,15345.8698870974,20005.541195,NA,NA,2727.45811051871,3915.63973985804,3803.0855843604,NA,3669.37095141429,744.031561083943
"ARG",2008,"GDP_CURRENT_PER_CAPITA",NA,101.271824842096,17330.7526542309,3971.0068831068,13807.6132363532,18000.203145,NA,NA,2454.06008166802,3523.13941787765,3421.86759303556,NA,3301.55639860055,669.450484506248
"ARG",2009,"CURRENT_LCU_MILLIONS",NA,5882.2359,1184723.6081,244107.2578,984392.1204,1247929.269,NA,NA,198469.3824,200331.4877,194449.2518,NA,180901.597,63205.6608
"ARG",2009,"GDP_CONSTANT_PER_CAPITA",NA,87.8593265891562,17695.4852153994,3646.07942463401,14703.2574463761,18639.549156,NA,NA,2964.41465161738,2992.22776902331,2904.36844243415,NA,2702.01548552701,944.063939107003
"ARG",2009,"GDP_CURRENT_PER_CAPITA",NA,79.6550399296228,16043.0842817393,3305.60924412599,13330.2701540528,16898.991717,NA,NA,2687.59819372079,2712.81412768642,2633.1590877568,NA,2449.7018102194,855.907433906586
"ARG",2010,"CURRENT_LCU_MILLIONS",NA,17681.8347,1613586.9605,314627.3056,1319370.4003,1661720.926,NA,NA,251978.6733,294216.5602,276534.7255,NA,266493.3398,48133.9658
"ARG",2010,"GDP_CONSTANT_PER_CAPITA",NA,214.915305194158,19612.4746078059,3824.16330390418,16036.3953772633,20197.522826,NA,NA,3062.69538164433,3576.07923054265,3361.16392534849,NA,3239.11508206371,585.048221840472
"ARG",2010,"GDP_CURRENT_PER_CAPITA",NA,197.117006800875,17988.2595479009,3507.46366482524,14708.3347730203,18524.85676,NA,NA,2809.05701819232,3279.92477488059,3082.80776807972,NA,2970.86644938177,536.597215443467
"ARG",2011,"CURRENT_LCU_MILLIONS",NA,25062.5734,2142149.2786,402012.7142,1741242.4241,2179024.104,NA,NA,341866.1441,400906.8545,375844.2811,NA,365137.8892,36874.825
"ARG",2011,"GDP_CONSTANT_PER_CAPITA",NA,243.431131534452,20806.5554355766,3904.7231242799,16912.5734540275,21164.718196,NA,NA,3320.52343402147,3893.98198154915,3650.5508500147,NA,3546.5603677417,358.162756538197
"ARG",2011,"GDP_CURRENT_PER_CAPITA",NA,227.935205647393,19482.0870368046,3656.16288565337,15835.981552445,19817.45048,NA,NA,3109.15118793486,3646.10548435967,3418.17027871228,NA,3320.79944609586,335.363439557512
"ARG",2012,"CURRENT_LCU_MILLIONS",NA,17000.3288,2586496.2499,428340.7434,2151188.0621,2637913.848,NA,NA,439092.3091,435308.1878,418307.859,NA,376923.1452,51417.5982
"ARG",2012,"GDP_CONSTANT_PER_CAPITA",NA,133.472244111693,20306.9871719558,3362.97026596737,16889.3144087172,20710.674788,NA,NA,3447.38249225874,3417.67276323856,3284.20051912687,NA,2959.28264913802,403.687616829348
"ARG",2012,"GDP_CURRENT_PER_CAPITA",NA,127.372743409695,19378.9853740152,3209.28708161257,16117.4956251353,19764.225013,NA,NA,3289.84178354036,3261.48974887995,3134.11700547025,NA,2824.04744187858,385.23963973399
"ARG",2013,"CURRENT_LCU_MILLIONS",NA,34027.7783,3351642.8087,489428.0573,2772191.9447,3348308.488,NA,NA,562724.6867,579450.864,545423.0857,NA,492762.3774,-3334.3201
"ARG",2013,"GDP_CONSTANT_PER_CAPITA",NA,213.139864569472,20993.6919193917,3065.63152403698,17364.1843568123,20972.806728,NA,NA,3524.73977159821,3629.50756257935,3416.36769800987,NA,3086.51671167044,-20.8851876334597
"ARG",2013,"GDP_CURRENT_PER_CAPITA",NA,206.969154255916,20385.8938826036,2976.87701487396,16861.4658638946,20365.613348,NA,NA,3422.6934082624,3524.42801870905,3317.45886445313,NA,2997.15754582815,-20.2805309541911
