"location","year","hospital_employment","hospital_hc_assistants","hospital_hc_other","hospital_non_hc_staff","pa_caring","pa_dentists","pa_midwives","pa_nurses_all","pa_nurses_assoc","pa_nurses_pro","pa_pharmacists","pa_physicians","prac_physiotherapists","total_hns","pa_usually_mentioned"
"AUS",1980,NA,NA,NA,NA,NA,6.283,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS",1981,225.376,NA,NA,NA,NA,6.38,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS",1982,NA,NA,NA,NA,NA,6.516,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS",1983,NA,NA,NA,NA,NA,6.631,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS",1984,NA,NA,NA,NA,NA,6.722,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS",1985,NA,NA,NA,NA,NA,6.805,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS",1986,250.3,NA,NA,NA,NA,6.897,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS",1987,NA,NA,NA,NA,NA,6.977,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS",1988,NA,NA,NA,NA,NA,7.076,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS",1989,NA,NA,NA,NA,NA,7.178,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS",1990,NA,NA,NA,NA,NA,7.221,NA,NA,NA,NA,NA,NA,NA,685.34046,NA
"AUS",1991,238.31,NA,NA,NA,NA,7.275,NA,NA,NA,NA,NA,NA,NA,674.16335,NA
"AUS",1992,NA,NA,NA,NA,NA,7.493,NA,NA,NA,NA,NA,NA,NA,679.32904,NA
"AUS",1993,NA,NA,NA,NA,NA,7.618,NA,NA,NA,NA,NA,NA,NA,713.6625,NA
"AUS",1994,NA,NA,NA,NA,NA,7.784,NA,NA,NA,NA,13.104,NA,NA,734.5874,NA
"AUS",1995,NA,NA,NA,NA,NA,8.278,NA,220.23,48.747,171.482,13.427,NA,NA,759.16454,NA
"AUS",1996,NA,NA,NA,NA,NA,8.534,NA,NA,NA,NA,13.834,NA,NA,759.43351,NA
"AUS",1997,NA,NA,NA,NA,NA,8.584,NA,222.528,46.311,176.217,NA,48.198,10.233,805.05183,270.726
"AUS",1998,NA,NA,NA,NA,NA,8.767,NA,NA,NA,NA,NA,48.917,11.425,797.86985,NA
"AUS",1999,NA,NA,NA,NA,NA,8.879,NA,224.822,45.432,179.389,14.747,50.223,10.158,841.23372,275.045
"AUS",2000,NA,NA,NA,NA,NA,8.992,NA,NA,NA,NA,NA,51.106,12.143,892.51398,NA
"AUS",2001,NA,NA,NA,NA,NA,9.205,NA,228.23,45.005,183.224,NA,53.384,11.49,901.77923,281.614
"AUS",2002,NA,NA,NA,NA,NA,9.356,NA,NA,NA,NA,NA,53.991,10.88,910.03969,NA
