"location","year","multiplier_type","nfa_agdi_fin","nfa_agdi_gov","nfa_agdi_hh","nfa_agdi_nfc","nfa_agdi_tot","nfa_andi_fin","nfa_andi_gov","nfa_andi_hh","nfa_andi_nfc","nfa_andi_tot","nfa_cfc_fin","nfa_cfc_gov","nfa_cfc_hh","nfa_cfc_nfc","nfa_cfc_tot","nfa_gcf_fin","nfa_gcf_gov","nfa_gcf_hh","nfa_gcf_nfc","nfa_gcf_tot","nfa_gdi_fin","nfa_gdi_gov","nfa_gdi_hh","nfa_gdi_nfc","nfa_gdi_tot","nfa_gpi_fin","nfa_gpi_gov","nfa_gpi_hh","nfa_gpi_nfc","nfa_gpi_tot","nfa_gs_fin","nfa_gs_gov","nfa_gs_hh","nfa_gs_nfc","nfa_gs_tot","nfa_gva_fin","nfa_gva_gov","nfa_gva_hh","nfa_gva_nfc","nfa_gva_tot","nfa_ndi_fin","nfa_ndi_gov","nfa_ndi_hh","nfa_ndi_nfc","nfa_ndi_tot","nfa_nl_fin","nfa_nl_gov","nfa_nl_hh","nfa_nl_nfc","nfa_nl_tot"
"AUS",1970,"AIC_CONSTANT_PER_CAPITA",NA,2272.04329790321,17448.1628743925,NA,NA,NA,1786.95679315956,15757.5588801203,NA,NA,NA,485.086504743654,1690.60399427212,1516.17220318279,3739.48534992454,NA,NA,NA,NA,7175.51475852542,NA,3763.85042550527,15956.3557467904,NA,NA,379.31992665457,NA,16897.733666955,2792.01616086473,NA,465.151442904874,655.088282091031,3792.09176311021,1942.56102584559,NA,NA,NA,NA,NA,22323.9467491275,NA,3278.76392076162,14265.7517525183,NA,NA,264.139569363839,-341.664809847985,NA,-1292.45650921426,-0.332251030646338
"AUS",1970,"AIC_CURRENT_PER_CAPITA",NA,455.146246683765,3495.29687710425,NA,NA,NA,357.971469180723,3156.62724729057,NA,NA,NA,97.1747775030411,338.669629813681,303.726644752656,749.111041641594,NA,NA,NA,NA,1437.43238228814,NA,753.991966539007,3196.45115724901,NA,NA,75.9871262438164,NA,3385.03234646724,559.309621199011,NA,93.1812934960668,131.230321673627,759.649402215554,389.142830457384,NA,NA,NA,NA,NA,4472.03650714338,NA,656.817189035966,2857.78152743533,NA,NA,52.9136630924094,-68.4438786750872,NA,-258.9108797855,-0.0665580667829049
"AUS",1970,"CURRENT_LCU_MILLIONS",NA,4103,31509,NA,NA,NA,3227,28456,NA,NA,NA,876,3053,2738,6753,NA,NA,NA,NA,12958,NA,6797,28815,NA,NA,685,NA,30515,5042,NA,840,1183,6848,3508,NA,NA,NA,NA,NA,40314,NA,5921,25762,NA,NA,477,-617,NA,-2334,-0.6
"AUS",1970,"GDP_CONSTANT_PER_CAPITA",NA,2278.25843810108,17495.892060962,NA,NA,NA,1791.84498653478,15800.6634449438,NA,NA,NA,486.413451566305,1695.22861601818,1520.31966939331,3749.71465573887,NA,NA,NA,NA,7195.1432710002,NA,3774.14638161663,16000.0041174464,NA,NA,380.357550596939,NA,16943.9571627235,2799.65367899236,NA,466.423857666319,656.8802662134,3802.46497297495,1947.87487225411,NA,NA,NA,NA,NA,22385.013569,NA,3287.73293005033,14304.7755014282,NA,NA,264.862119174803,-342.599428785856,NA,-1295.9920045157,-0.333159898333085
"AUS",1970,"GDP_CURRENT_PER_CAPITA",NA,472.127135649303,3625.7016615096,NA,NA,NA,371.326899034926,3274.39672728164,NA,NA,NA,100.800236614377,351.30493422796,315.058273801558,777.05935828412,NA,NA,NA,NA,1491.06103430262,NA,782.12238386749,3315.70641329141,NA,NA,78.8221028320186,NA,3511.32331083073,580.176704348961,NA,96.657761137074,136.126346934713,787.99089079367,403.661221510542,NA,NA,NA,NA,NA,4638.882122,NA,681.322147253113,2964.40147906345,NA,NA,54.887800074267,-70.997426930446,NA,-268.570493445156,-0.0690412579550528
"AUS",1971,"AIC_CONSTANT_PER_CAPITA",NA,2252.03695220433,17423.994011819,NA,NA,NA,1768.46464368426,15756.8114532868,NA,NA,NA,483.572308520066,1667.18255853222,1527.67145104337,3728.07439905254,NA,NA,NA,NA,6729.30089289627,NA,3830.84592663329,15845.18503739,NA,NA,387.255031463707,NA,16861.4812545775,2695.89079595889,NA,450.308094278952,643.935610010806,3777.72248000942,1917.90536736449,NA,NA,NA,NA,NA,22085.452332861,NA,3347.27361811323,14178.0024788578,NA,NA,243.275596688739,-330.656219172858,NA,-992.465138328143,-0.0496480809568856
"AUS",1971,"AIC_CURRENT_PER_CAPITA",NA,471.875113257413,3650.89442234764,NA,NA,NA,370.550959749318,3301.5653592263,NA,NA,NA,101.324153508095,349.329063121339,320.096940805348,781.153047938694,NA,NA,NA,NA,1410.00777890013,NA,802.68703128179,3320.08250432327,NA,NA,81.1425459305075,NA,3533.02967293833,564.876954362379,NA,94.3542168704748,134.925489835729,791.555938442605,401.863660166091,NA,NA,NA,NA,NA,4627.62181175987,NA,701.362877773695,2970.75344120193,NA,NA,50.974163469165,-69.2832507560487,NA,-207.953781173185,-0.0104028905039112
"AUS",1971,"CURRENT_LCU_MILLIONS",NA,4536,35095,NA,NA,NA,3562,31737,NA,NA,NA,974,3358,3077,7509,NA,NA,NA,NA,13554,NA,7716,31915,NA,NA,780,NA,33962,5430,NA,907,1297,7609,3863,NA,NA,NA,NA,NA,44484,NA,6742,28557,NA,NA,490,-666,NA,-1999,-0.1
"AUS",1971,"GDP_CONSTANT_PER_CAPITA",NA,2275.76277451578,17607.5605316648,NA,NA,NA,1787.09590009374,15922.8137510598,NA,NA,NA,488.666874422039,1684.74678060494,1543.76588562281,3767.3506776541,NA,NA,NA,NA,6800.19590956501,NA,3871.20493125303,16012.1183749275,NA,NA,391.334868633666,NA,17039.1215494059,2724.29273933437,NA,455.052212629148,650.719646945981,3817.52181465842,1938.11102247673,NA,NA,NA,NA,NA,22318.128585,NA,3382.538056831,14327.3715943226,NA,NA,245.838571321149,-334.139772448746,NA,-1002.92102871628,-0.0501711370043162
"AUS",1971,"GDP_CURRENT_PER_CAPITA",NA,494.540523725924,3826.25654324544,NA,NA,NA,388.349502978779,3460.14828075169,NA,NA,NA,106.191020747145,366.108262493751,335.472043982511,818.673896088616,NA,NA,NA,NA,1477.73418399056,NA,841.242213639601,3479.55485333176,NA,NA,85.0400371486377,NA,3702.73043800261,592.009489380901,NA,98.8862996074544,141.406318181773,829.576464953826,421.166235263061,NA,NA,NA,NA,NA,4849.898734,NA,735.051192892456,3113.44659083801,NA,NA,53.4225874395288,-72.6111086422984,NA,-217.942351615547,-0.01090256886521
