"location","year","labor_health_FTE","labor_health_HRS","labor_health_JOB","labor_health_PER","labor_total_FTE","labor_total_HRS","labor_total_JOB","labor_total_PER","labor_health_per_capita","labor_total_per_capita","labor_health_share_PER","labor_health_share_FTE","labor_health_share_JOB"
"ARG",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARG",2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARG",2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARG",2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARG",2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARG",2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARG",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARG",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARG",2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARG",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARG",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARG",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARG",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARG",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARG",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARG",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARG",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARG",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS",1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS",1971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS",1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS",1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS",1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS",1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS",1976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS",1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS",1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS",1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS",1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS",1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS",1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS",1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS",1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS",1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS",1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS",1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS",1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS",1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS",1990,NA,720.0871,NA,442.282213,NA,14276.5434,NA,7703.716449,25.9173525499411,451.431075645616,0.0574115384344671,NA,NA
"AUS",1991,NA,689.3219,NA,427.146138,NA,14015.5604,NA,7631.400055,24.7133845174728,441.529741668595,0.0559721853030283,NA,NA
"AUS",1992,NA,678.7827,NA,429.297954,NA,14147.483,NA,7620.506789,24.561346675363,435.990685123522,0.0563345674883041,NA,NA
"AUS",1993,NA,704.2257,NA,438.405667,NA,14678.8258,NA,7857.908786,24.8602573887994,445.591035112391,0.0557916462177676,NA,NA
"AUS",1994,NA,742.0946,NA,460.035348,NA,15215.2019,NA,8165.2016,25.8366992221505,458.577495717615,0.0563409662781627,NA,NA
"AUS",1995,NA,757.2175,NA,468.144258,NA,15341.7619,NA,8297.125431,26.0009363006737,460.825965764875,0.0564224636463737,NA,NA
"AUS",1996,NA,769.3797,NA,472.793867,NA,15408.0747,NA,8330.18644,25.9423350050481,457.079717747245,0.0567566969125363,NA,NA
"AUS",1997,NA,774.3571,NA,480.828136,NA,15590.8691,NA,8482.540018,26.0993397383705,460.432069586929,0.0566844524139798,NA,NA
"AUS",1998,NA,754.1732,NA,471.221958,NA,15861.5147,NA,8606.520123,25.3241663621316,462.5271460586,0.0547517406879361,NA,NA
"AUS",1999,NA,829.9251,NA,519.981165,NA,16341.0472,NA,8864.999781,27.640488669647,471.234234038369,0.0586555192155171,NA,NA
"AUS",2000,NA,841.8917,NA,532.597786,NA,16487.7086,NA,9004.629114,27.9890369334903,473.210560518793,0.0591471096984928,NA,NA
"AUS",2001,NA,840.0162,NA,528.919671,NA,16569.4166,NA,9134.673081,27.441136360099,473.920376503914,0.0579024193104563,NA,NA
"AUS",2002,NA,876.6538,NA,551.960389,NA,16829.9457,NA,9380.077847,28.3126302371866,481.148069627396,0.0588439027909061,NA,NA
"AUS",2003,NA,897.4661,NA,570.094445,NA,17143.2932,NA,9533.473324,28.908428453351,483.424692024117,0.059799238496301,NA,NA
"AUS",2004,NA,928.0829,NA,598.238833,NA,17743.4701,NA,9850.755076,30.0129351768702,494.200739287703,0.0607302514766128,NA,NA
"AUS",2005,NA,1022.776,NA,632.13463,NA,18164.6601,NA,10082.055875,31.3297762777051,499.685573282185,0.0626989810250382,NA,NA
"AUS",2006,NA,1036.0888,NA,645.074778,NA,18754.3905,NA,10412.007344,31.5424565057943,509.119717568823,0.0619548907993932,NA,NA
"AUS",2007,NA,1101.9287,NA,676.029566,NA,19208.1662,NA,10690.306356,32.4583517063896,513.275958631816,0.0632376232717198,NA,NA
"AUS",2008,NA,1110.1441,NA,698.577323,NA,18915.2627,NA,10786.798714,32.8754646292566,507.633168025149,0.064762247031951,NA,NA
"AUS",2009,NA,1156.3169,NA,725.118075,NA,19494.8064,NA,10957.426609,33.4283654577557,505.14374664042,0.0661759463124687,NA,NA
"AUS",2010,NA,1187.8009,NA,748.310014,NA,19650.9712,NA,11196.181067,33.9649966866075,508.182766138037,0.0668361836524415,NA,NA
"AUS",2011,NA,1287.0138,NA,787.176798,NA,20183.4407,NA,11393.152978,35.2362040286482,509.988942614145,0.0690920941305735,NA,NA
"AUS",2012,NA,1264.254,NA,807.834409,NA,20220.8741,NA,11491.664766,35.5349774121891,505.494744144105,0.0702974221272198,NA,NA
"AUS",2013,NA,1285.1581,NA,812.0813,NA,20392.1166,NA,11553.348763,35.1123222400457,499.537305831435,0.0702896897391965,NA,NA
"AUS",2014,NA,1404.1625,NA,871.48562,NA,20743.4203,NA,11781.440931,37.1228811068467,501.856853299369,0.0739710554170753,NA,NA
"AUS",2015,NA,1411.9846,NA,914.82801,NA,20790.3849,NA,11999.94942,38.4123282667115,503.860825495465,0.0762359888346929,NA,NA
"AUS",2016,NA,1552.2049,NA,978.40396,NA,21325.6568,NA,12256.633911,40.445124406285,506.662997697481,0.0798264814878666,NA,NA
"AUS",2017,NA,1532.2208,NA,970.184719,NA,21692.9284,NA,12571.678451,39.4353573910958,511.004371654222,0.0771722505297475,NA,NA
"AUS",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUT",1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUT",1971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUT",1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUT",1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUT",1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUT",1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUT",1976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUT",1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUT",1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUT",1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUT",1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUT",1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUT",1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUT",1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUT",1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUT",1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUT",1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUT",1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUT",1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUT",1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUT",1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUT",1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUT",1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUT",1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUT",1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUT",1995,NA,343.952,207.98,197.64,NA,6365.134,3730.68,3587.13,24.865763376671,451.309076003632,0.0550969716737336,NA,0.0557485498622235
"AUT",1996,NA,366.497,216.54,203.43,NA,6508.108,3759.6,3601.07,25.5596923036717,452.451659853429,0.0564915427914481,NA,0.0575965528247686
"AUT",1997,NA,370.123,218.85,205.42,NA,6586.241,3788.12,3627.4,25.7804898343269,455.243641442106,0.0566300931796879,NA,0.0577727210331246
"AUT",1998,NA,366.543,222.16,208.46,NA,6573.561,3828.49,3664.13,26.133322568768,459.348993686557,0.0568920862523982,NA,0.0580280998513774
"AUT",1999,NA,372.195,224.53,209.36,NA,6687.95,3896.88,3719.72,26.1951375088319,465.411620626444,0.0562838063080017,NA,0.0576178891831414
"AUT",2000,NA,373.618,228.54,212.27,NA,6753.059,3948.22,3754.97,26.4954442115312,468.693636175499,0.0565304116943677,NA,0.057884312424333
"AUT",2001,NA,390.443,240.56,223.92,NA,6752.459,3977.05,3782,27.8428055282243,470.263891156415,0.0592067689053411,NA,0.0604870444173445
"AUT",2002,NA,394.868,244.83,227.93,NA,6736.277,3978.75,3778.38,28.2017554550346,467.498568754415,0.0603247952826344,NA,0.0615344015080113
"AUT",2003,NA,384.899,244.92,228.67,NA,6746.491,3998.84,3803.03,28.1674179579453,468.454696797153,0.0601283713249698,NA,0.0612477618509368
"AUT",2004,NA,392.862,248.64,232.2,NA,6798.215,4015.09,3826.82,28.4229973629775,468.431071354821,0.0606770111998996,NA,0.0619263827211843
