"location","year","multiplier_type","sna2_cfc","sna2_consumption","sna2_gdi","sna2_gdp","sna2_gndi","sna2_gni_mkt","sna2_net_primary","sna2_net_secondary","sna2_nndi","sna2_nni_mkt","sna2_saving_net"
"AUS",1970,"AIC_CONSTANT_PER_CAPITA",3336.80976303576,13628.3947985028,19920.0575724898,19920.0575724898,19745.1381802027,19694.2435547633,-295.979423672208,50.8946254394615,16408.328417167,16357.4337917275,2779.93361866418
"AUS",1970,"AIC_CURRENT_PER_CAPITA",750.067355105182,3063.46923162388,4477.74549884649,4477.74549884649,4438.42610839672,4426.98572077999,-66.5319629361771,11.4403876167383,3688.35875329154,3676.9183656748,624.889521667667
"AUS",1970,"CURRENT_LCU_MILLIONS",6753,27581,40314,40314,39960,39857,-599,103,33207,33104,5626
"AUS",1970,"GDP_CONSTANT_PER_CAPITA",3609.80827887044,14743.3914022695,21549.801711,21549.801711,21360.5714236136,21305.5128936679,-320.194751820435,55.0585299457509,17750.7631447432,17695.7046147974,3007.37174247373
"AUS",1970,"GDP_CURRENT_PER_CAPITA",777.136503360768,3174.02663989239,4639.342662,4639.342662,4598.60427577318,4586.75101650379,-68.9330320617651,11.8532592693853,3821.46777241241,3809.61451314303,647.441132520018
"AUS",1971,"AIC_CONSTANT_PER_CAPITA",3326.62756733254,13611.7501673049,19707.2447336824,19707.2447336824,19670.0311612152,19616.4258961137,-260.0519885503,53.6052651015099,16343.4035938827,16289.7983287812,2731.65342657777
"AUS",1971,"AIC_CURRENT_PER_CAPITA",782.294894591341,3200.96026585683,4634.38621534175,4634.38621534175,4625.63501396398,4613.02911674124,-61.1542286756049,12.6058972227397,3843.34011937264,3830.7342221499,642.379853515809
"AUS",1971,"CURRENT_LCU_MILLIONS",7509,30725,44484,44484,44400,44279,-587,121,36891,36770,6166
"AUS",1971,"GDP_CONSTANT_PER_CAPITA",3626.7862796305,14839.9265470298,21485.412287,21485.412287,21444.840966253,21386.3989447009,-283.516253315102,58.4420215521761,17818.0546866225,17759.6126650704,2978.12813959271
"AUS",1971,"GDP_CURRENT_PER_CAPITA",818.769066806178,3350.20369924355,4850.462534,4850.462534,4841.30331151875,4828.10966961123,-64.0055190058898,13.1936419075173,4022.53424471257,4009.34060280505,672.330545469023
"AUS",1972,"AIC_CONSTANT_PER_CAPITA",3284.68302038606,14024.4663800485,20296.4117374445,20296.4117374445,20339.6580919546,20302.5315045922,-267.229832114379,37.1265873624558,17054.9750715686,17017.8484842061,3030.50869152002
"AUS",1972,"AIC_CURRENT_PER_CAPITA",801.241930008539,3421.02736853105,4950.96056813623,4950.96056813623,4961.50977253083,4952.45338007886,-65.186121494919,9.05639245196585,4160.26784252229,4151.21145007032,739.240473991234
"AUS",1972,"CURRENT_LCU_MILLIONS",8051,34375,49748,49748,49854,49763,-655,91,41803,41712,7428
"AUS",1972,"GDP_CONSTANT_PER_CAPITA",3511.86205989386,14994.4427162901,21700.1756,21700.1756,21746.4130088124,21706.7186295489,-285.712290303128,39.694379263488,18234.5509489185,18194.8565696551,3240.10823262845
"AUS",1972,"GDP_CURRENT_PER_CAPITA",840.933648053952,3590.49734838586,5196.219988,5196.219988,5207.29177618702,5197.7867504793,-68.4152949292434,9.50502570772694,4366.35812813307,4356.85310242534,775.860779747206
