"location","year","multiplier_type","vaact_health_cfc","vaact_health_coe","vaact_health_coewage","vaact_health_gosmi","vaact_health_gva","vaact_health_interc","vaact_health_nosmi","vaact_health_out","vaact_health_taxsub","vaact_total_cfc","vaact_total_coe","vaact_total_coewage","vaact_total_gosmi","vaact_total_gva","vaact_total_interc","vaact_total_nosmi","vaact_total_out","vaact_total_taxsub"
"AUS",1970,"AIC_CONSTANT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,3739.48534992454,11532.4332737344,NA,9125.27455670169,NA,NA,5385.78920677715,NA,-350.050272109781
"AUS",1970,"AIC_CURRENT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,749.111041641594,2310.23049803463,NA,1828.01730419248,NA,NA,1078.90626255089,NA,-70.1236933505764
"AUS",1970,"CURRENT_LCU_MILLIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,6753,20826,NA,16479,NA,NA,9726,NA,-632.143
"AUS",1970,"GDP_CONSTANT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,3749.71465573887,11563.9800711414,NA,9150.23660771819,NA,NA,5400.52195197931,NA,-351.007829353286
"AUS",1970,"GDP_CURRENT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,777.05935828412,2396.42206361988,NA,1896.21814973553,NA,NA,1119.15879145141,NA,-72.7399132124683
"AUS",1971,"AIC_CONSTANT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,3728.07439905254,11553.1084386673,NA,8958.99620867,NA,NA,5230.92180961746,NA,-130.980623866917
"AUS",1971,"AIC_CURRENT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,781.153047938694,2420.75262026014,NA,1877.20159143078,NA,NA,1096.04854349209,NA,-27.444708072499
"AUS",1971,"CURRENT_LCU_MILLIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,7509,23270,NA,18045,NA,NA,10536,NA,-263.8181
"AUS",1971,"GDP_CONSTANT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,3767.3506776541,11674.8235809044,NA,9053.38167242885,NA,NA,5286.03099477475,NA,-132.360540393184
"AUS",1971,"GDP_CURRENT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,818.673896088616,2537.02777493436,NA,1967.36855172714,NA,NA,1148.69465563852,NA,-28.7629500313885
"AUS",1972,"AIC_CONSTANT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,3681.06811762998,11870.3130629623,NA,9369.78374544667,NA,NA,5688.71562781669,NA,-96.584808055428
"AUS",1972,"AIC_CURRENT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,799.87909705542,2579.3641929888,NA,2036.01072363144,NA,NA,1236.13162657602,NA,-20.9874326113768
"AUS",1972,"CURRENT_LCU_MILLIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,8051,25962,NA,20493,NA,NA,12442,NA,-211.2442
"AUS",1972,"GDP_CONSTANT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,3647.97230700012,11763.5892478372,NA,9285.54173237529,NA,NA,5637.56942537517,NA,-95.7164316997137
"AUS",1972,"GDP_CURRENT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,840.841733981085,2711.4561045357,NA,2140.27694130845,NA,NA,1299.43520732737,NA,-22.0622207702704
"AUS",1973,"AIC_CONSTANT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,3824.03960281271,12697.23445416,NA,9581.08385903844,NA,NA,5757.04425622572,NA,28.7406934237278
"AUS",1973,"AIC_CURRENT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,876.317063953226,2909.69874083184,NA,2195.60154938422,NA,NA,1319.28448543099,NA,6.58621842162299
"AUS",1973,"CURRENT_LCU_MILLIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,9567,31766,NA,23970,NA,NA,14403,NA,71.9036
"AUS",1973,"GDP_CONSTANT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,3668.69680450967,12181.4385588015,NA,9191.87440201702,NA,NA,5523.17759750735,NA,27.573168971751
"AUS",1973,"GDP_CURRENT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,917.4055030588,3046.1276481829,NA,2298.54812462835,NA,NA,1381.14262156955,NA,6.89503066057685
"AUS",1974,"AIC_CONSTANT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,3585.71824209015,13595.1433987731,NA,8246.91974265531,NA,NA,4661.20150056516,NA,-207.637501876435
