"location","year","sha_hce_MLLNCU","sha_hce_PPPPER","sha_hce_VRPPPR","multiplier","multiplier_type","sha_hce_adj"
"AUS",1971,2022.8,212.852,905.13,0.109038362872044,"GDP_PPP_Current",220.56280041757
"AUS",1971,2022.8,212.852,905.13,0.443018719847189,"AIC_PPP_Constant",896.138266506895
"AUS",1971,2022.8,212.852,905.13,0.104180968782973,"AIC_PPP_Current",210.737263654197
"AUS",1971,2022.8,212.852,905.13,0.482991913654348,"GDP_PPP_Constant",976.996042940014
"AUS",1972,2262,226.903,930.188,0.436201969928439,"GDP_PPP_Constant",986.68885597813
"AUS",1972,2262,226.903,930.188,0.0995207961754489,"AIC_PPP_Current",225.116040948865
"AUS",1972,2262,226.903,930.188,0.104450831953043,"GDP_PPP_Current",236.267781877784
"AUS",1972,2262,226.903,930.188,0.407984476510503,"AIC_PPP_Constant",922.860885866758
"AUS",1973,2719,251.575,977.671,0.356669701833492,"AIC_PPP_Constant",969.784919285264
"AUS",1973,2719,251.575,977.671,0.0917785273665625,"AIC_PPP_Current",249.545815909684
"AUS",1973,2719,251.575,977.671,0.095904105256172,"GDP_PPP_Current",260.763262191532
"AUS",1973,2719,251.575,977.671,0.369166227800637,"GDP_PPP_Constant",1003.76297338993
"AUS",1974,3637.9,307.633,1085.45,0.0875410389550162,"GDP_PPP_Current",318.465545614454
"AUS",1974,3637.9,307.633,1085.45,0.0838945915125704,"AIC_PPP_Current",305.20013446358
"AUS",1974,3637.9,307.633,1085.45,0.296012639316834,"AIC_PPP_Constant",1076.86438057071
"AUS",1974,3637.9,307.633,1085.45,0.311920117118003,"GDP_PPP_Constant",1134.73419406358
"AUS",1975,4794,375.201,1221.523,0.0831468864406372,"GDP_PPP_Current",398.606173596415
"AUS",1975,4794,375.201,1221.523,0.25341816875571,"AIC_PPP_Constant",1214.88670101487
"AUS",1975,4794,375.201,1221.523,0.0778394114562397,"AIC_PPP_Current",373.162138521213
"AUS",1975,4794,375.201,1221.523,0.270888419468006,"GDP_PPP_Constant",1298.63908292962
"AUS",1976,5550,406.946,1255.359,0.0767859840643671,"GDP_PPP_Current",426.162211557237
"AUS",1976,5550,406.946,1255.359,0.0729233679870832,"AIC_PPP_Current",404.724692328312
"AUS",1976,5550,406.946,1255.359,0.224956008449203,"AIC_PPP_Constant",1248.50584689308
"AUS",1976,5550,406.946,1255.359,0.240694173335138,"GDP_PPP_Constant",1335.85266201001
"AUS",1977,6375,451.146,1306.594,0.219708467117804,"GDP_PPP_Constant",1400.641477876
"AUS",1977,6375,451.146,1306.594,0.203674275389083,"AIC_PPP_Constant",1298.4235056054
"AUS",1977,6375,451.146,1306.594,0.0734589138867709,"GDP_PPP_Current",468.300576028164
