"location","year","pop"
"AUS",1970,12663.469
"AUS",1971,13198.38
"AUS",1972,13409.288
"AUS",1973,13614.344
"AUS",1974,13831.978
"AUS",1975,13968.881
"AUS",1976,14110.107
"AUS",1977,14281.533
"AUS",1978,14430.83
"AUS",1979,14602.481
"AUS",1980,14807.37
"AUS",1981,14923.3
"AUS",1982,15184.2
"AUS",1983,15393.5
"AUS",1984,15579.4
"AUS",1985,15788.3
"AUS",1986,16018.4
"AUS",1987,16263.9
"AUS",1988,16532.2
"AUS",1989,16814.4
"AUS",1990,17065.1
"AUS",1991,17284
"AUS",1992,17478.6
"AUS",1993,17634.8
"AUS",1994,17805.5
"AUS",1995,18004.9
"AUS",1996,18224.8
"AUS",1997,18423
"AUS",1998,18607.6
"AUS",1999,18812.3
"AUS",2000,19028.8
"AUS",2001,19274.7
"AUS",2002,19495.2
"AUS",2003,19720.7
"AUS",2004,19932.7
"AUS",2005,20176.8
"AUS",2006,20451
"AUS",2007,20827.6
"AUS",2008,21249.2
"AUS",2009,21691.7
"AUS",2010,22031.8
"AUS",2011,22340
"AUS",2012,22733.5
"AUS",2013,23128.1
"AUS",2014,23475.7
"AUS",2015,23816
"AUS",2016,24190.9
"AUS",2017,24601.9
"AUS",2018,24992.9
"AUT",1970,7466.531215
"AUT",1971,7500.529081
"AUT",1972,7543.526381
"AUT",1973,7585.523744
"AUT",1974,7598.522928
"AUT",1975,7578.524184
"AUT",1976,7565.525
"AUT",1977,7568.43
"AUT",1978,7562.305
"AUT",1979,7549.425
"AUT",1980,7549.433
"AUT",1981,7568.71
"AUT",1982,7574.14
"AUT",1983,7561.91
"AUT",1984,7561.434
"AUT",1985,7564.984
"AUT",1986,7569.794
"AUT",1987,7574.586
"AUT",1988,7585.317
"AUT",1989,7619.566
"AUT",1990,7677.85
"AUT",1991,7754.891
"AUT",1992,7840.709
"AUT",1993,7905.632
"AUT",1994,7936.118
"AUT",1995,7948.278
"AUT",1996,7959.016
"AUT",1997,7968.041
"AUT",1998,7976.789
"AUT",1999,7992.323
"AUT",2000,8011.566
"AUT",2001,8042.293
"AUT",2002,8082.121
"AUT",2003,8118.245
"AUT",2004,8169.441
"AUT",2005,8225.278
"AUT",2006,8267.948
"AUT",2007,8295.189
"AUT",2008,8321.541
"AUT",2009,8341.483
"AUT",2010,8361.069
"AUT",2011,8388.534
"AUT",2012,8426.311
"AUT",2013,8477.23
"AUT",2014,8543.932
"AUT",2015,8629.519
"AUT",2016,8739.806
"AUT",2017,8795.073
"AUT",2018,8837.707
"BEL",1970,9625.111808
"BEL",1971,9660.065005
"BEL",1972,9696.016865
"BEL",1973,9724.978086
"BEL",1974,9754.937969
"BEL",1975,9781.901864
"BEL",1976,9797.880468
"BEL",1977,9808.865759
"BEL",1978,9816.855061
"BEL",1979,9823.8457
"BEL",1980,9833.832328
"BEL",1981,9840.822967
"BEL",1982,9848.81227
"BEL",1983,9853.805584
"BEL",1984,9854.805564
"BEL",1985,9856.805524
"BEL",1986,9858.805485
"BEL",1987,9869.805268
"BEL",1988,9903.804597
